"","orig_GS","old_entrez_id","en2gs_GS","ens_id"
"gene_symbol134","PCOTH",542767,"PCOTH","ENSG00000205861"
"gene_symbol135","FOXN1",8456,"FOXN1","ENSG00000109101"
"gene_symbol136","KCNJ6",3763,"KCNJ6","ENSG00000157542"
"gene_symbol137","CLEC4A",50856,"CLEC4A","ENSG00000111729"
"gene_symbol138","WFIKKN1",117166,"WFIKKN1","ENSG00000127578"
"gene_symbol139","ATMIN",23300,"ATMIN","ENSG00000166454"
"gene_symbol140","MIR3613",100500908,"MIR3613","ENSG00000264864"
"gene_symbol141","DDX52",11056,"DDX52","ENSG00000278053"
"gene_symbol142","MOXD1",26002,"MOXD1","ENSG00000079931"
"gene_symbol143","FBXO3-DT",101928440,"FBXO3-DT","ENSG00000254508"
"gene_symbol144","MRPS26",64949,"MRPS26","ENSG00000125901"
"gene_symbol145","OR5AK2",390181,"OR5AK2","ENSG00000181273"
"gene_symbol146","LINC01733",101926955,"LINC01733","ENSG00000226203"
"gene_symbol147","UQCC2",84300,"UQCC2","ENSG00000137288"
"gene_symbol148","ZBTB11-AS1",100009676,"ZBTB11-AS1","ENSG00000256628"
"gene_symbol149","AC107982.1",101929141,"LOC101929141","ENSG00000250111"
"gene_symbol150","NKTR",4820,"NKTR","ENSG00000114857"
"gene_symbol151","RPRML",388394,"RPRML","ENSG00000179673"
"gene_symbol152","CUZD1",50624,"CUZD1","ENSG00000138161"
"gene_symbol153","MIR4798",100616471,"MIR4798","ENSG00000264658"
"gene_symbol154","H4C11",8363,"H4C11","ENSG00000197238"
"gene_symbol155","ZNF816",125893,"ZNF816","ENSG00000180257"
"gene_symbol156","MIR3681",100500884,"MIR3681","ENSG00000264089"
"gene_symbol157","FLII",2314,"FLII","ENSG00000177731"
"gene_symbol158","SAMD5",389432,"SAMD5","ENSG00000203727"
"gene_symbol159","BICRAL",23506,"BICRAL","ENSG00000112624"
"gene_symbol160","RUVBL1-AS1",100874089,"RUVBL1-AS1","ENSG00000239608"
"gene_symbol161","DCT",1638,"DCT","ENSG00000080166"
"gene_symbol162","FBF1",85302,"FBF1","ENSG00000188878"
"gene_symbol163","ADRB2",154,"ADRB2","ENSG00000169252"
"gene_symbol164","COL28A1",340267,"COL28A1","ENSG00000215018"
"gene_symbol165","STK26",51765,"STK26","ENSG00000134602"
"gene_symbol166","IFI44",10561,"IFI44","ENSG00000137965"
"gene_symbol167","NAALADL2",254827,"NAALADL2","ENSG00000177694"
"gene_symbol168","GUK1",2987,"GUK1","ENSG00000143774"
"gene_symbol169","LINC02873",283171,"LINC02873","ENSG00000175728"
"gene_symbol170","AGBL5-AS1",100874031,"AGBL5-AS1","ENSG00000231636"
"gene_symbol171","KIAA1191",57179,"KIAA1191","ENSG00000122203"
"gene_symbol172","SLC44A3-AS1",101928079,"SLC44A3-AS1","ENSG00000224081"
"gene_symbol173","VAMP8",8673,"VAMP8","ENSG00000118640"
"gene_symbol174","LRRN1",57633,"LRRN1","ENSG00000175928"
"gene_symbol175","CCNT2",905,"CCNT2","ENSG00000082258"
"gene_symbol176","PNISR",25957,"PNISR","ENSG00000132424"
"gene_symbol177","BRK1",55845,"BRK1","ENSG00000254999"
"gene_symbol178","SNRPE",6635,"SNRPE","ENSG00000182004"
"gene_symbol179","DAZL",1618,"DAZL","ENSG00000092345"
"gene_symbol180","SELENON",57190,"SELENON","ENSG00000162430"
"gene_symbol181","DLG5",9231,"DLG5","ENSG00000151208"
"gene_symbol182","MIR3115",100422866,"MIR3115","ENSG00000263793"
"gene_symbol183","IFNA4",3441,"IFNA4","ENSG00000236637"
"gene_symbol184","FLYWCH1",84256,"FLYWCH1","ENSG00000059122"
"gene_symbol185","AC097467.3",102724776,"MAP9-AS1","ENSG00000250910"
"gene_symbol186","RGS7BP",401190,"RGS7BP","ENSG00000186479"
"gene_symbol187","MMP11",4320,"MMP11","ENSG00000099953"
"gene_symbol188","MLEC",9761,"MLEC","ENSG00000110917"
"gene_symbol189","CSNK1D",1453,"CSNK1D","ENSG00000141551"
"gene_symbol190","ABCB5",340273,"ABCB5","ENSG00000004846"
"gene_symbol191","LINC00559",100874187,"LINC00559","ENSG00000261446"
"gene_symbol192","UBAC2",337867,"UBAC2","ENSG00000134882"
"gene_symbol193","CDK11A",728642,"CDK11A","ENSG00000008128"
"gene_symbol194","KCNN3",3782,"KCNN3","ENSG00000143603"
"gene_symbol195","LINC02280",101929634,"LINC02280","ENSG00000260792"
"gene_symbol196","TRAF5",7188,"TRAF5","ENSG00000082512"
"gene_symbol197","A4GALT",53947,"A4GALT","ENSG00000128274"
