"","orig_GS","new_entrenz_id","new_GS","ens_id"
"gene17980","MIR153-2","406945","MIR153-2","ENSG00000207960"
"gene17981","PTPRN2","5799","PTPRN2","ENSG00000155093"
"gene17982","NCAPG2","54892","NCAPG2","ENSG00000146918"
"gene17983","ESYT2","57488","ESYT2","ENSG00000117868"
"gene17984","WDR60","55112","DYNC2I1","ENSG00000126870"
"gene17985","LINC00689","154822","LINC00689","ENSG00000231419"
"gene17986","VIPR2","7434","VIPR2","ENSG00000106018"
"gene17987","VIPR2","7434","VIPR2","ENSG00000106018"
"gene17988","ZNF596","169270","ZNF596","ENSG00000172748"
"gene17989","ZNF596","169270","ZNF596","ENSG00000172748"
"gene17990","RPL23AP53","644128","RPL23AP53",""
"gene17991","FBXO25","26260","FBXO25","ENSG00000147364"
"gene17992","TDRP","157695","TDRP","ENSG00000180190"
"gene17993","TDRP","157695","TDRP","ENSG00000180190"
"gene17994","ERICH1","157697","ERICH1","ENSG00000104714"
"gene17995","ERICH1-AS1","9228","DLGAP2","ENSG00000198010"
"gene17996","LOC401442","401442","LOC401442","ENSG00000282375"
"gene17997","DLGAP2","9228","DLGAP2","ENSG00000198010"
"gene17998","CLN8","2055","CLN8","ENSG00000182372"
"gene17999","LOC101927752","","",""
"gene18000","LOC101927752","","",""
"gene18001","MIR3674","100500912","MIR3674","ENSG00000283858"
"gene18002","MIR596","693181","MIR596","ENSG00000207826"
"gene18003","ARHGEF10","9639","ARHGEF10","ENSG00000104728"
"gene18004","KBTBD11","9920","KBTBD11","ENSG00000176595"
"gene18005","LOC101928058","","",""
"gene18006","MYOM2","9172","MYOM2","ENSG00000036448"
"gene18007","MIR7160","102465695","MIR7160","ENSG00000273593"
"gene18008","LOC101927815","","",""
"gene18009","MCPH1","79648","MCPH1","ENSG00000147316"
"gene18010","MCPH1","79648","MCPH1","ENSG00000147316"
"gene18011","LOC100287015","","",""
"gene18012","AGPAT5","55326","AGPAT5","ENSG00000155189"
"gene18013","MCPH1-AS1","100507530","MCPH1-AS1",""
"gene18014","GS1-24F4.2","100652791","GS1-24F4.2","ENSG00000245857"
"gene18015","XKR5","389610","XKR5","ENSG00000275591"
"gene18016","USP17L4","645402","USP17L4","ENSG00000236125"
"gene18017","FAM86B3P","286042","FAM86B3P","ENSG00000173295"
"gene18018","CLDN23","137075","CLDN23","ENSG00000253958"
"gene18019","MFHAS1","9258","MFHAS1","ENSG00000147324"
"gene18020","ERI1","90459","ERI1","ENSG00000104626"
"gene18021","PPP1R3B","79660","PPP1R3B","ENSG00000173281"
"gene18022","PPP1R3B","79660","PPP1R3B","ENSG00000173281"
"gene18023","LOC157273","157273","LOC157273","ENSG00000285236"
"gene18024","LINC00599","157627","MIR124-1HG","ENSG00000253230"
"gene18025","MIR124-1","406907","MIR124-1","ENSG00000284321"
"gene18026","PRSS55","203074","PRSS55","ENSG00000184647"
