,gene_symbol,entrenz_id
455,MIR3191,100422832
456,DYNLT3,6990
457,C15orf65,145788
458,OSGEP,55644
459,ZNF334,55713
460,SHFL,55337
461,MMP23B,8510
462,KIAA0825,285600
463,LINC01304,100505964
464,SNORD65C,109616981
465,OR4F13P,390651
466,TMEM254,80195
467,SART3,9733
468,ZNF787,126208
469,KLB,152831
470,CDC42EP4,23580
471,RRAS,6237
472,MIR6510,102466658
473,MPND,84954
474,TMEM72,643236
475,PPM1K,152926
476,ERFL,390937
477,TDP2,51567
478,AC090001.1,105369921
479,IYD,389434
480,RIMS2,9699
481,EIF1B-AS1,440952
482,TXLNGY,246126
483,SPG21,51324
484,MIR8089,102465882
485,HTR1B,3351
486,MIR6068,102464823
487,CARF,79800
488,SLC2A12,154091
489,TP53TG5,27296
490,LINC02828,105374978
491,TRIM11,81559
492,MIR1182,100302132
493,CTDP1,9150
494,ANKRD16,54522
495,ZNF112,7771
496,MMP20,9313
497,MSX1,4487
498,WDTC1,23038
499,CASC18,101929110
500,ENDOU,8909
501,BPIFA1,51297
502,PCDHB3,56132
503,CD58,965
504,ZNF559-ZNF177,100529215
505,PLAC9P1,389033
506,PPP2R2D,55844
507,HID1,283987
508,SNORA7A,619563
509,YKT6,10652
510,FRAS1,80144
511,CES1,1066
512,PPP1R17,10842
513,PURG,29942
514,ZNF250,58500
515,TMEM208,29100
516,ARHGAP1,392
517,DGAT2,84649
518,KEL,3792
519,MED15P9,285103
520,RCN1,5954
521,SHANK2,22941
522,GNRHR,2798
523,SIRPD,128646
524,DNAJC2,27000
525,PNN,5411
526,IL9,3578
527,LINC01416,101927273
528,MIR6859-4,103504738
529,DEFB114,245928
530,FMNL1,752
531,H2AC14,8331
532,CD300LF,146722
533,WNT9B,7484
534,AQP5,362
535,HAMP,57817
536,AGTR1,185
537,DANCR,57291
538,MIR3929,100500864
539,PACC1,55248
540,ADGRF3,165082
541,NRP2,8828
542,CENPP,401541
543,PAGE1,8712
544,RGL3,57139
545,JMJD6,23210
546,SIK1B,102724428
547,AL022069.3,100289495
548,TBC1D14,57533
549,MORN2,729967
550,CEP164,22897
551,MAP3K11,4296
552,SPPL2B,56928
553,MIR139,406931
554,LINC01568,100506172
555,AL031656.1,101927159
556,ZNF560,147741
557,ZSCAN22,342945
558,PLP1,5354
559,CRYBB1,1414
560,ZFP90,146198
561,BDNF-AS,497258
562,ZBTB32,27033
563,FRRS1,391059
564,CYB561,1534
565,SZRD1,26099
566,PHGDH,26227
567,MIR2114,100313839
568,TINAGL1,64129
569,MAP2K2,5605
570,GALNT10,55568
571,TJP3,27134
572,FLOT1,10211
573,FAM174C,55009
574,CASP9,842
575,SNORD112,692215
576,ZNF749,388567
577,KCMF1,56888
578,SCGN,10590
579,MIR2053,100302225
580,MIR631,693216
581,UGP2,7360
582,LINC00523,283601
583,SASH1,23328
584,ZBTB45,84878
585,AC016868.1,105379391
586,SDCCAG8,10806
587,TCF12,6938
588,MMP2,4313
589,ATP10D,57205
590,GPANK1,7918
591,MIR939,100126351
592,TMEM200B,399474
593,FRMD4B,23150
594,SPRED2,200734
595,KRTAP10-1,386677
596,MED20,9477
597,LINC01968,100507391
598,METAP1,23173
599,CYP4F30P,100132708
600,S100A16,140576
601,AC022469.1,105370586
602,USP17L18,100287364
603,HSF5,124535
604,VPS37A,137492
605,MIR7161,102465694
606,MIR1208,100302281
607,FAM3A,60343
608,ZW10,9183
609,OXA1L,5018
610,MAGIX,79917
611,SNORA66,26782
612,SEZ6L2,26470
613,PDZD2,23037
614,TRIR,79002
615,PPIAL4H,105371242
616,TIGD1,200765
617,RNF113A,7737
618,MIR4521,100616406
619,IRF3,3661
620,ATP6V0D2,245972
621,DUXB,100033411
622,MEI4,101928601
623,ZNF683,257101
624,PAPSS2,9060
625,PTPRF,5792
626,NEURL1B,54492
627,KLHL23,151230
628,IL1RL2,8808
629,OR1J4,26219
630,DCAF13,25879
631,SCARNA15,677778
632,PPA2,27068
633,GSN-AS1,57000
634,TMEM271,112441426
635,BTBD8,284697
636,SNORA14B,677802
637,C1orf43,25912
638,AC026746.1,101928651
639,MRGPRX1,259249
640,RASGRF1,5923
641,L2HGDH,79944
642,SLC3A2,6520
643,KCNIP1-OT1,101928033
644,AC005622.1,105372412
645,MIR4500HG,642345
646,N4BP2,55728
647,MIR6130,102466967
648,GALNT17,64409
649,LINC01460,100129995
650,AP000866.1,100507283
651,USP18,11274
652,KANK1,23189
