,gene_symbol,ensembl_id
719,TRIM73,ENSG00000178809
720,CROCCP5,ENSG00000186543
721,PHACTR4,ENSG00000204138
722,AC010976.2,ENSG00000272789
723,PRELID3BP1,ENSG00000226226
724,ZCCHC7,ENSG00000147905
725,AC118470.1,ENSG00000239395
726,AC005828.3,ENSG00000263644
727,AP000704.1,ENSG00000224790
728,AC011498.3,ENSG00000267255
729,IGHV3-21,ENSG00000211947
730,TRIM37,ENSG00000108395
731,AL050303.2,ENSG00000278381
732,ESRRA,ENSG00000173153
733,RPS15AP9,ENSG00000228453
734,PCID2,ENSG00000126226
735,FGL1,ENSG00000104760
736,ZNF395,ENSG00000186918
737,NPIPB12,ENSG00000169203
738,Z73429.1,ENSG00000273082
739,TBX4,ENSG00000121075
740,SEPSECS,ENSG00000109618
741,AL606490.8,ENSG00000235350
742,AC080013.1,ENSG00000240207
743,AL390728.4,ENSG00000227671
744,PILRB,ENSG00000121716
745,GAPDHP51,ENSG00000236973
746,RTL3,ENSG00000179300
747,AL590705.1,ENSG00000203279
748,FOXG1-AS1,ENSG00000257126
749,AC100801.2,ENSG00000287927
750,AC115285.1,ENSG00000235907
751,MRPL49P1,ENSG00000224296
752,AC017007.1,ENSG00000228814
753,AC068408.2,ENSG00000286465
754,AC092384.1,ENSG00000205018
755,COL4A5,ENSG00000188153
756,MMP2,ENSG00000087245
757,AL445685.2,ENSG00000229032
758,RIMBP3C,ENSG00000183246
759,LINC00945,ENSG00000232539
760,MSANTD3-TMEFF1,ENSG00000251349
761,AMPD2,ENSG00000116337
762,AC027097.1,ENSG00000267040
763,AHSA1,ENSG00000100591
764,AC112219.2,ENSG00000272774
765,LINC01467,ENSG00000258977
766,MAPK8IP1P1,ENSG00000262500
767,IGKV1OR22-5,ENSG00000230481
768,AL391095.2,ENSG00000275285
769,FAM246B,ENSG00000286175
770,AL008582.1,ENSG00000273424
771,AL022324.2,ENSG00000231466
772,LIPE,ENSG00000079435
773,S100A11P6,ENSG00000232813
774,LINC01520,ENSG00000230962
775,SERPINF1,ENSG00000132386
776,RPS15AP34,ENSG00000241808
777,AL451074.3,ENSG00000230175
778,UBE2FP1,ENSG00000224080
779,AL079352.1,ENSG00000257976
780,AC010642.2,ENSG00000283103
781,AC106799.2,ENSG00000248973
782,FKBPL,ENSG00000204315
783,EHF,ENSG00000135373
784,KRT18P1,ENSG00000228666
785,TSGA10,ENSG00000135951
786,PPAN-P2RY11,ENSG00000243207
