"","orig_GS","orig_ensembl_id","entrenzID","new_GS"
"gene_symbol6678","PDLIM5","ENSG00000163110","10611","PDLIM5"
"gene_symbol6679","PRKCB","ENSG00000166501","5579","PRKCB"
"gene_symbol6680","PRDM16-DT","ENSG00000177133","440556","PRDM16-DT"
"gene_symbol6681","COX7A2","ENSG00000112695","1347","COX7A2"
"gene_symbol6682","HSPD1P16","ENSG00000218792","",""
"gene_symbol6683","AL590290.1","ENSG00000220725","",""
"gene_symbol6684","RN7SL524P","ENSG00000266754","106481066","RN7SL524P"
"gene_symbol6685","ANKZF1","ENSG00000163516","55139","ANKZF1"
"gene_symbol6686","KRT74","ENSG00000170484","121391","KRT74"
"gene_symbol6687","IFNA6","ENSG00000120235","3443","IFNA6"
"gene_symbol6688","MAB21L4","ENSG00000172478","79919","MAB21L4"
"gene_symbol6689","INO80","ENSG00000128908","54617","INO80"
"gene_symbol6690","RARRES2P8","ENSG00000259996","",""
"gene_symbol6691","BDP1P","ENSG00000264736","",""
"gene_symbol6692","SPATA5","ENSG00000145375","166378","SPATA5"
"gene_symbol6693","TIFA","ENSG00000145365","92610","TIFA"
"gene_symbol6694","AC103955.1","ENSG00000286927","",""
"gene_symbol6695","DZANK1","ENSG00000089091","55184","DZANK1"
"gene_symbol6696","AP000892.3","ENSG00000276505","",""
"gene_symbol6697","ARL5B","ENSG00000165997","221079","ARL5B"
"gene_symbol6698","AC008514.1","ENSG00000253348","",""
"gene_symbol6699","AC019080.4","ENSG00000271996","",""
"gene_symbol6700","NPY","ENSG00000122585","4852","NPY"
"gene_symbol6701","ZNF965P","ENSG00000227784","",""
"gene_symbol6702","AC109630.1","ENSG00000259269","",""
"gene_symbol6703","AL391987.4","ENSG00000235659","",""
"gene_symbol6704","UBE2V1P12","ENSG00000249191","106479048","UBE2V1P12"
"gene_symbol6705","AL079338.1","ENSG00000286546","613266","LOC613266"
"gene_symbol6706","SERPINB5","ENSG00000206075","5268","SERPINB5"
"gene_symbol6707","AC092803.3","ENSG00000287445","",""
"gene_symbol6708","AC090079.2","ENSG00000262518","",""
"gene_symbol6709","LINC01919","ENSG00000263438","102724651","LINC01919"
"gene_symbol6710","HCAR2","ENSG00000182782","338442","HCAR2"
"gene_symbol6711","OR6N2","ENSG00000188340","81442","OR6N2"
"gene_symbol6712","CPSF1P2","ENSG00000220132","100422285","CPSF1P2"
"gene_symbol6713","HMGN2P26","ENSG00000241203","100874470","HMGN2P26"
"gene_symbol6714","TCN1","ENSG00000134827","6947","TCN1"
"gene_symbol6715","CDH18-AS1","ENSG00000249854","102725105","CDH18-AS1"
"gene_symbol6716","TRGV8","ENSG00000211696","6982","TRGV8"
"gene_symbol6717","AL356859.1","ENSG00000233941","",""
"gene_symbol6718","AC079171.1","ENSG00000261030","",""
"gene_symbol6719","KIF1B","ENSG00000054523","23095","KIF1B"
"gene_symbol6720","AL137067.2","ENSG00000277828","",""
"gene_symbol6721","ATG10-AS1","ENSG00000248192","",""
"gene_symbol6722","IMMP2L","ENSG00000184903","83943","IMMP2L"
"gene_symbol6723","LINC01810","ENSG00000237266","105373400","LINC01810"
"gene_symbol6724","AC093418.1","ENSG00000287649","",""
"gene_symbol6725","AC020763.4","ENSG00000279569","",""
"gene_symbol6726","LINC02438","ENSG00000248238","",""
"gene_symbol6727","MMP28","ENSG00000271447","79148","MMP28"
"gene_symbol6728","PHF1","ENSG00000112511","5252","PHF1"
"gene_symbol6729","SMARCA2","ENSG00000080503","6595","SMARCA2"
"gene_symbol6730","EEF1A1P40","ENSG00000231144","100874490","EEF1A1P40"
"gene_symbol6731","AP005901.1","ENSG00000215512","644669","LOC644669"
"gene_symbol6732","RNF213-AS1","ENSG00000263069","100294362","RNF213-AS1"
"gene_symbol6733","LDHAP5","ENSG00000213574","",""
"gene_symbol6734","DNMT3B","ENSG00000088305","1789","DNMT3B"
"gene_symbol6735","AC034148.1","ENSG00000287521","",""
"gene_symbol6736","OR5AS1","ENSG00000181785","219447","OR5AS1"
"gene_symbol6737","HSCB","ENSG00000100209","150274","HSCB"
"gene_symbol6738","SNRPCP18","ENSG00000259464","",""
"gene_symbol6739","AL355994.2","ENSG00000232456","",""
"gene_symbol6740","AC026320.2","ENSG00000237653","",""
"gene_symbol6741","CACNA1G-AS1","ENSG00000250107","253962","CACNA1G-AS1"
"gene_symbol6742","EEF1B2P1","ENSG00000231169","",""
"gene_symbol6743","NDUFA5P8","ENSG00000236987","",""
"gene_symbol6744","ABHD4","ENSG00000100439","63874","ABHD4"
"gene_symbol6745","TIMELESS","ENSG00000111602","8914","TIMELESS"
"gene_symbol6746","RPH3AL","ENSG00000181031","9501","RPH3AL"
"gene_symbol6747","AC106871.1","ENSG00000261129","",""
"gene_symbol6748","IDE","ENSG00000119912","3416","IDE"
"gene_symbol6749","METTL1P1","ENSG00000176812","",""
"gene_symbol6750","ADD3","ENSG00000148700","120","ADD3"
"gene_symbol6751","LINC02022","ENSG00000232746","105376955","LINC02022"
"gene_symbol6752","RPL21P112","ENSG00000237924","100270753","RPL21P112"
"gene_symbol6753","THAP10","ENSG00000129028","56906","THAP10"
"gene_symbol6754","POC1B","ENSG00000139323","282809","POC1B"
"gene_symbol6755","RGL4","ENSG00000159496","266747","RGL4"
"gene_symbol6756","SPSB4","ENSG00000175093","92369","SPSB4"
"gene_symbol6757","AC095052.1","ENSG00000224569","391636","LOC391636"
"gene_symbol6758","AC064802.1","ENSG00000254339","",""
"gene_symbol6759","IGLV3-16","ENSG00000211665","28799","IGLV3-16"
"gene_symbol6760","AC016831.5","ENSG00000271522","",""
"gene_symbol6761","OR7E109P","ENSG00000236316","401540","OR7E109P"
"gene_symbol6762","AP003122.1","ENSG00000204456","",""
"gene_symbol6763","LINC02547","ENSG00000254486","105376554","LINC02547"
"gene_symbol6764","MGAT3-AS1","ENSG00000227188","104502417","MGAT3-AS1"
"gene_symbol6765","AC102945.2","ENSG00000279041","",""
"gene_symbol6766","MTND1P21","ENSG00000235940","100873340","MTND1P21"
"gene_symbol6767","AC092120.3","ENSG00000287351","",""
"gene_symbol6768","CES1","ENSG00000198848","1066","CES1"
"gene_symbol6769","SRRM4","ENSG00000139767","84530","SRRM4"
"gene_symbol6770","AC231656.1","ENSG00000287585","122319696","LOC122319696"
"gene_symbol6771","MMP17","ENSG00000198598","4326","MMP17"
"gene_symbol6772","AL162417.1","ENSG00000285245","",""
"gene_symbol6773","TPMTP4","ENSG00000223574","100129298","TPMTP4"
"gene_symbol6774","SMIM13","ENSG00000224531","221710","SMIM13"
"gene_symbol6775","AC105227.2","ENSG00000274930","",""
"gene_symbol6776","MYCBP2-AS2","ENSG00000229521","100874213","MYCBP2-AS2"
"gene_symbol6777","AC099335.1","ENSG00000236468","100421840","EEF1A1P44"
"gene_symbol6778","FCRL6","ENSG00000181036","343413","FCRL6"
"gene_symbol6779","RPS14","ENSG00000164587","6208","RPS14"
"gene_symbol6780","NOM1","ENSG00000146909","64434","NOM1"
"gene_symbol6781","C17orf67","ENSG00000214226","339210","C17orf67"
"gene_symbol6782","AC098869.2","ENSG00000250893","",""
"gene_symbol6783","GUCY1A1","ENSG00000164116","2982","GUCY1A1"
"gene_symbol6784","IGFBP7","ENSG00000163453","3490","IGFBP7"
"gene_symbol6785","MCM8-AS1","ENSG00000278719","101929225","MCM8-AS1"
"gene_symbol6786","AC006517.1","ENSG00000241828","100271561","RPS20P29"
"gene_symbol6787","AC092378.1","ENSG00000261638","",""
"gene_symbol6788","CCDC144NL","ENSG00000205212","339184","CCDC144NL"
"gene_symbol6789","CARMIL2","ENSG00000159753","146206","CARMIL2"
"gene_symbol6790","AL356432.2","ENSG00000219699","",""
"gene_symbol6791","AC103876.1","ENSG00000259986","",""
"gene_symbol6792","RPL22P21","ENSG00000233979","",""
"gene_symbol6793","FAM86LP","ENSG00000242731","641924","FAM86LP"
"gene_symbol6794","AC083863.1","ENSG00000224573","",""
"gene_symbol6795","CD68","ENSG00000129226","968","CD68"
"gene_symbol6796","AL360013.2","ENSG00000232436","",""
"gene_symbol6797","LINC00667","ENSG00000263753","339290","LINC00667"
"gene_symbol6798","CARF","ENSG00000138380","79800","CARF"
"gene_symbol6799","AC132825.2","ENSG00000243655","",""
"gene_symbol6800","RN7SKP203","ENSG00000200488","",""
"gene_symbol6801","AC133485.7","ENSG00000286473","",""
"gene_symbol6802","OPALIN","ENSG00000197430","93377","OPALIN"
"gene_symbol6803","AL024497.1","ENSG00000223542","",""
"gene_symbol6804","USP31","ENSG00000103404","57478","USP31"
"gene_symbol6805","GCNT2P1","ENSG00000205318","644378","GCNT2P1"
"gene_symbol6806","RN7SL658P","ENSG00000239333","106480524","RN7SL658P"
"gene_symbol6807","AC134775.1","ENSG00000255165","",""
"gene_symbol6808","NEXN-AS1","ENSG00000235927","374987","NEXN-AS1"
"gene_symbol6809","SLC25A35","ENSG00000125434","399512","SLC25A35"
"gene_symbol6810","AC246785.3","ENSG00000237343","",""
"gene_symbol6811","AC002525.1","ENSG00000279314","",""
"gene_symbol6812","ZSWIM5","ENSG00000162415","57643","ZSWIM5"
"gene_symbol6813","ZMYND12","ENSG00000066185","84217","ZMYND12"
"gene_symbol6814","CA6","ENSG00000131686","765","CA6"
"gene_symbol6815","IGHV3-15","ENSG00000211943","28448","IGHV3-15"
"gene_symbol6816","GUSBP8","ENSG00000227762","",""
"gene_symbol6817","AL133329.1","ENSG00000233103","",""
"gene_symbol6818","SEC13","ENSG00000157020","6396","SEC13"
"gene_symbol6819","RN7SL804P","ENSG00000266185","106481140","RN7SL804P"
"gene_symbol6820","SDR42E1P5","ENSG00000236785","100422339","SDR42E1P5"
"gene_symbol6821","AC005578.1","ENSG00000280247","",""
"gene_symbol6822","GTPBP1","ENSG00000100226","9567","GTPBP1"
"gene_symbol6823","CRYGN","ENSG00000127377","155051","CRYGN"
"gene_symbol6824","AC091179.2","ENSG00000244559","",""
"gene_symbol6825","TAF10","ENSG00000166337","6881","TAF10"
"gene_symbol6826","LINC01967","ENSG00000235493","",""
"gene_symbol6827","OR2G2","ENSG00000177489","81470","OR2G2"
"gene_symbol6828","YARS1","ENSG00000134684","8565","YARS1"
"gene_symbol6829","AC104472.5","ENSG00000288032","",""
"gene_symbol6830","SNORD22","ENSG00000277194","9304","SNORD22"
"gene_symbol6831","LINC00254","ENSG00000281219","64735","LINC00254"
"gene_symbol6832","CCDC103","ENSG00000167131","388389","CCDC103"
"gene_symbol6833","AL662864.1","ENSG00000231963","",""
"gene_symbol6834","AL445207.1","ENSG00000287880","",""
"gene_symbol6835","AC006449.5","ENSG00000277182","",""
"gene_symbol6836","BNIP3P22","ENSG00000268174","100421706","BNIP3P22"
"gene_symbol6837","AC008745.1","ENSG00000271150","",""
"gene_symbol6838","DNMBP-AS1","ENSG00000227695","100188954","DNMBP-AS1"
"gene_symbol6839","AC004875.1","ENSG00000227743","",""
"gene_symbol6840","AC096922.1","ENSG00000244640","100131151","RPLP0P8"
"gene_symbol6841","DDX18P4","ENSG00000251553","",""
"gene_symbol6842","TMEM150A","ENSG00000168890","129303","TMEM150A"
"gene_symbol6843","BRWD1P1","ENSG00000215909","",""
"gene_symbol6844","PHKA2-AS1","ENSG00000237836","",""
"gene_symbol6845","NT5DC1P2","ENSG00000214961","402425","NT5DC1P2"
"gene_symbol6846","RCAN3AS","ENSG00000286061","100750325","RCAN3AS"
"gene_symbol6847","LINC01490","ENSG00000257741","101928420","LINC01490"
"gene_symbol6848","SUCO","ENSG00000094975","51430","SUCO"
"gene_symbol6849","AL136221.1","ENSG00000276434","",""
"gene_symbol6850","SMPX","ENSG00000091482","23676","SMPX"
"gene_symbol6851","AC084033.1","ENSG00000257159","",""
"gene_symbol6852","ATF7IP","ENSG00000171681","55729","ATF7IP"
"gene_symbol6853","AL590617.1","ENSG00000216802","",""
"gene_symbol6854","PRKD2","ENSG00000105287","25865","PRKD2"
"gene_symbol6855","RPL37P1","ENSG00000227401","140696","RPL37P1"
"gene_symbol6856","SAMMSON","ENSG00000240405","101927152","SAMMSON"
"gene_symbol6857","PRYP1","ENSG00000224166","442863","PRYP1"
"gene_symbol6858","AC009269.1","ENSG00000259452","",""
"gene_symbol6859","AC134312.2","ENSG00000260162","",""
"gene_symbol6860","LINC00272","ENSG00000203729","388719","LINC00272"
"gene_symbol6861","AC005670.3","ENSG00000262879","101927060","LOC101927060"
"gene_symbol6862","SLC6A21P","ENSG00000269009","",""
"gene_symbol6863","CT45A9","ENSG00000270946","102723680","CT45A9"
"gene_symbol6864","G3BP2","ENSG00000138757","9908","G3BP2"
"gene_symbol6865","AC110994.2","ENSG00000282978","",""
"gene_symbol6866","RPS26P38","ENSG00000234192","",""
"gene_symbol6867","RAD54L2P1","ENSG00000269316","100420273","RAD54L2P1"
"gene_symbol6868","EXOSC6","ENSG00000223496","118460","EXOSC6"
"gene_symbol6869","FMR1","ENSG00000102081","2332","FMR1"
"gene_symbol6870","NDUFB1P2","ENSG00000234523","100380272","NDUFB1P2"
"gene_symbol6871","HEY2","ENSG00000135547","23493","HEY2"
"gene_symbol6872","KRTAP10-3","ENSG00000212935","386682","KRTAP10-3"
"gene_symbol6873","CYP4F2","ENSG00000186115","8529","CYP4F2"
"gene_symbol6874","ZC3H12C","ENSG00000149289","85463","ZC3H12C"
"gene_symbol6875","AC080079.2","ENSG00000287424","",""
"gene_symbol6876","AC079336.6","ENSG00000279781","",""
"gene_symbol6877","FAUP1","ENSG00000235297","",""
"gene_symbol6878","CCR4","ENSG00000183813","1233","CCR4"
"gene_symbol6879","AC093388.1","ENSG00000272979","",""
"gene_symbol6880","AC005229.4","ENSG00000273314","",""
"gene_symbol6881","FCHSD1","ENSG00000197948","89848","FCHSD1"
"gene_symbol6882","RPS20P32","ENSG00000218198","",""
"gene_symbol6883","AL356234.2","ENSG00000230533","102723649","LINC03004"
"gene_symbol6884","AC244035.4","ENSG00000287432","",""
"gene_symbol6885","RMI2","ENSG00000175643","116028","RMI2"
"gene_symbol6886","","ENSG00000283438","",""
"gene_symbol6887","RPL31P13","ENSG00000228646","100270983","RPL31P13"
"gene_symbol6888","RPL19P4","ENSG00000226915","646710","RPL19P4"
"gene_symbol6889","AC009975.2","ENSG00000282998","",""
"gene_symbol6890","AL591503.1","ENSG00000203402","",""
"gene_symbol6891","AC004696.2","ENSG00000279405","",""
"gene_symbol6892","C19orf57","ENSG00000132016","79173","BRME1"
"gene_symbol6893","SLC25A5P1","ENSG00000215347","",""
"gene_symbol6894","AL589763.1","ENSG00000223353","",""
"gene_symbol6895","MRPL40P1","ENSG00000256037","645328","MRPL40P1"
"gene_symbol6896","SNORD91B","ENSG00000275084","",""
"gene_symbol6897","AC018761.4","ENSG00000267791","",""
"gene_symbol6898","COL21A1","ENSG00000124749","81578","COL21A1"
"gene_symbol6899","RN7SKP5","ENSG00000252854","100873849","RN7SKP5"
"gene_symbol6900","RPL41P2","ENSG00000256338","22970","RPL41P2"
"gene_symbol6901","MT-CYB","ENSG00000198727","4519","CYTB"
"gene_symbol6902","AP001178.3","ENSG00000266456","",""
"gene_symbol6903","BNIP3P6","ENSG00000257356","100129777","BNIP3P6"
"gene_symbol6904","MBD2","ENSG00000134046","8932","MBD2"
"gene_symbol6905","LOXHD1","ENSG00000167210","125336","LOXHD1"
"gene_symbol6906","IGKV1D-37","ENSG00000250036","28894","IGKV1D-37"
"gene_symbol6907","TFAP2E","ENSG00000116819","339488","TFAP2E"
"gene_symbol6908","AC107626.1","ENSG00000240568","",""
"gene_symbol6909","MMP13","ENSG00000137745","4322","MMP13"
"gene_symbol6910","ZIK1P1","ENSG00000237426","",""
"gene_symbol6911","","ENSG00000261439","26077","GNAO1-AS1"
"gene_symbol6912","ATP5MFP4","ENSG00000256826","",""
"gene_symbol6913","AC098965.1","ENSG00000261748","441750","LOC441750"
"gene_symbol6914","RN7SKP87","ENSG00000200966","",""
"gene_symbol6915","RPL35AP26","ENSG00000243607","100271630","RPL35AP26"
"gene_symbol6916","AC090371.2","ENSG00000263765","",""
"gene_symbol6917","AC121493.1","ENSG00000270059","",""
"gene_symbol6918","LINC00484","ENSG00000235641","",""
"gene_symbol6919","SRSF2","ENSG00000161547","6427","SRSF2"
"gene_symbol6920","ALPK2","ENSG00000198796","115701","ALPK2"
"gene_symbol6921","ATP8A2P2","ENSG00000229800","100533851","ATP8A2P2"
"gene_symbol6922","CR383656.4","ENSG00000257635","",""
"gene_symbol6923","RBM18","ENSG00000119446","92400","RBM18"
"gene_symbol6924","DYM","ENSG00000141627","54808","DYM"
"gene_symbol6925","AC090952.2","ENSG00000283392","",""
"gene_symbol6926","AC134050.1","ENSG00000241537","",""
"gene_symbol6927","AC105036.2","ENSG00000260165","",""
"gene_symbol6928","AL162742.2","ENSG00000287779","",""
"gene_symbol6929","AL445123.2","ENSG00000287976","",""
"gene_symbol6930","CSF2","ENSG00000164400","1437","CSF2"
"gene_symbol6931","SHROOM2","ENSG00000146950","357","SHROOM2"
"gene_symbol6932","AC106873.4","ENSG00000274606","",""
"gene_symbol6933","FP671120.9","ENSG00000286057","",""
"gene_symbol6934","AL160274.1","ENSG00000279083","",""
"gene_symbol6935","TMEM232","ENSG00000186952","642987","TMEM232"
"gene_symbol6936","OR7E59P","ENSG00000250561","402249","OR7E59P"
"gene_symbol6937","AC007663.4","ENSG00000273343","",""
"gene_symbol6938","EIF4EP2","ENSG00000229944","",""
"gene_symbol6939","AC008126.1","ENSG00000258204","",""
"gene_symbol6940","DBIP2","ENSG00000251366","",""
"gene_symbol6941","ZPR1","ENSG00000109917","8882","ZPR1"
"gene_symbol6942","AC013391.2","ENSG00000259713","",""
"gene_symbol6943","LINC00907","ENSG00000267586","284260","LINC00907"
"gene_symbol6944","FLG-AS1","ENSG00000237975","339400","FLG-AS1"
"gene_symbol6945","RPS27AP8","ENSG00000237483","100271375","RPS27AP8"
"gene_symbol6946","AC007846.1","ENSG00000284837","339166","LOC339166"
"gene_symbol6947","LINC00310","ENSG00000227456","114036","LINC00310"
"gene_symbol6948","LINC01937","ENSG00000234279","",""
"gene_symbol6949","PMPCA","ENSG00000165688","23203","PMPCA"
"gene_symbol6950","RPL9P31","ENSG00000239659","",""
"gene_symbol6951","LINC00391","ENSG00000238230","101927248","LINC00391"
"gene_symbol6952","AC103563.2","ENSG00000231062","",""
"gene_symbol6953","TECRP1","ENSG00000235043","",""
"gene_symbol6954","AC091305.1","ENSG00000278971","",""
"gene_symbol6955","AC008805.2","ENSG00000267555","",""
"gene_symbol6956","RCAN1","ENSG00000159200","1827","RCAN1"
"gene_symbol6957","RPS3AP50","ENSG00000243864","",""
"gene_symbol6958","AC104695.2","ENSG00000270210","",""
"gene_symbol6959","MIATNB","ENSG00000244625","",""
"gene_symbol6960","G6PC3","ENSG00000141349","92579","G6PC3"
"gene_symbol6961","CLDN24","ENSG00000185758","100132463","CLDN24"
"gene_symbol6962","ZNF12","ENSG00000164631","7559","ZNF12"
"gene_symbol6963","AC073283.3","ENSG00000273269","",""
"gene_symbol6964","ATG14","ENSG00000126775","22863","ATG14"
"gene_symbol6965","DNAAF5","ENSG00000164818","54919","DNAAF5"
"gene_symbol6966","AC074085.2","ENSG00000234985","392979","RPL18P4"
"gene_symbol6967","IGSF21","ENSG00000117154","84966","IGSF21"
"gene_symbol6968","AC007619.2","ENSG00000271370","",""
"gene_symbol6969","CIB4","ENSG00000157884","130106","CIB4"
"gene_symbol6970","GRPEL2-AS1","ENSG00000253618","106144529","GRPEL2-AS1"
"gene_symbol6971","PRKAA2","ENSG00000162409","5563","PRKAA2"
"gene_symbol6972","LINC00400","ENSG00000229928","",""
"gene_symbol6973","RPS6P25","ENSG00000240616","729389","RPS6P25"
"gene_symbol6974","TH2LCRR","ENSG00000223442","101927761","TH2LCRR"
"gene_symbol6975","ITGA9-AS1","ENSG00000235257","101928153","ITGA9-AS1"
"gene_symbol6976","AC108075.1","ENSG00000286700","",""
"gene_symbol6977","AC084741.1","ENSG00000287948","",""
"gene_symbol6978","RN7SL48P","ENSG00000266710","106481825","RN7SL48P"
"gene_symbol6979","AL360013.4","ENSG00000286421","105372937","LOC105372937"
"gene_symbol6980","AL356292.1","ENSG00000236713","",""
"gene_symbol6981","ERVH48-1","ENSG00000233056","90625","ERVH48-1"
"gene_symbol6982","MRPS5P4","ENSG00000266915","359797","MRPS5P4"
"gene_symbol6983","NUPR2","ENSG00000185290","389493","NUPR2"
"gene_symbol6984","MRPL22P1","ENSG00000250324","359738","MRPL22P1"
"gene_symbol6985","EML4","ENSG00000143924","27436","EML4"
"gene_symbol6986","PCGF7P","ENSG00000268140","",""
"gene_symbol6987","AC010834.1","ENSG00000253722","",""
"gene_symbol6988","AC009127.2","ENSG00000263311","",""
"gene_symbol6989","RAI2","ENSG00000131831","10742","RAI2"
"gene_symbol6990","DPF3","ENSG00000205683","8110","DPF3"
"gene_symbol6991","PPIAP34","ENSG00000234397","",""
"gene_symbol6992","HAVCR1","ENSG00000113249","26762","HAVCR1"
"gene_symbol6993","LINC01615","ENSG00000223485","101929484","LINC01615"
"gene_symbol6994","TVP23CP2","ENSG00000262470","",""
"gene_symbol6995","TM4SF18","ENSG00000163762","116441","TM4SF18"
"gene_symbol6996","GGT1","ENSG00000100031","2678","GGT1"
"gene_symbol6997","SNRPGP13","ENSG00000231480","",""
"gene_symbol6998","OR10J6P","ENSG00000158731","401973","OR10J6P"
"gene_symbol6999","CXCL16","ENSG00000161921","58191","CXCL16"
"gene_symbol7000","AC105941.1","ENSG00000286541","",""
"gene_symbol7001","AL049869.2","ENSG00000259116","102723809","HSPA2-AS1"
"gene_symbol7002","AC133963.2","ENSG00000249320","",""
"gene_symbol7003","OSER1","ENSG00000132823","51526","OSER1"
"gene_symbol7004","UBALD1","ENSG00000153443","124402","UBALD1"
"gene_symbol7005","AP001595.1","ENSG00000229025","",""
"gene_symbol7006","AC099313.1","ENSG00000260594","",""
"gene_symbol7007","NR5A1","ENSG00000136931","2516","NR5A1"
"gene_symbol7008","RPN1","ENSG00000163902","6184","RPN1"
"gene_symbol7009","AC093894.1","ENSG00000286047","",""
"gene_symbol7010","PIGU","ENSG00000101464","128869","PIGU"
"gene_symbol7011","XIAPP2","ENSG00000254843","",""
"gene_symbol7012","AL136987.1","ENSG00000236069","",""
"gene_symbol7013","AP005262.1","ENSG00000266602","",""
"gene_symbol7014","AL023574.1","ENSG00000285899","",""
"gene_symbol7015","AC036103.1","ENSG00000261002","",""
"gene_symbol7016","ZBTB18","ENSG00000179456","10472","ZBTB18"
"gene_symbol7017","JADRR","ENSG00000280711","",""
"gene_symbol7018","SERPINB3","ENSG00000057149","6317","SERPINB3"
"gene_symbol7019","LINC01108","ENSG00000226673","102216342","LINC01108"
"gene_symbol7020","LINC00707","ENSG00000238266","100507127","LINC00707"
"gene_symbol7021","CP","ENSG00000047457","1356","CP"
"gene_symbol7022","UBE2J1","ENSG00000198833","51465","UBE2J1"
"gene_symbol7023","CCT6P1","ENSG00000228409","643253","CCT6P1"
"gene_symbol7024","NFIL3","ENSG00000165030","4783","NFIL3"
"gene_symbol7025","AL138899.1","ENSG00000176320","",""
"gene_symbol7026","AC108667.1","ENSG00000237501","",""
"gene_symbol7027","AC018618.1","ENSG00000259675","",""
"gene_symbol7028","AC004057.1","ENSG00000196656","",""
"gene_symbol7029","AL096712.2","ENSG00000286672","",""
"gene_symbol7030","GNPTG","ENSG00000090581","84572","GNPTG"
"gene_symbol7031","ELOVL4","ENSG00000118402","6785","ELOVL4"
"gene_symbol7032","AC132008.1","ENSG00000213519","100271010","RPL36P7"
"gene_symbol7033","RDM1P5","ENSG00000263818","100131347","RDM1P5"
"gene_symbol7034","AL354989.1","ENSG00000228352","",""
"gene_symbol7035","AC244636.2","ENSG00000233139","",""
"gene_symbol7036","RNU1-39P","ENSG00000206624","106481953","RNU1-39P"
"gene_symbol7037","AL391001.1","ENSG00000269887","",""
"gene_symbol7038","TRIM41","ENSG00000146063","90933","TRIM41"
"gene_symbol7039","TRIM27","ENSG00000204713","5987","TRIM27"
"gene_symbol7040","Z82214.1","ENSG00000234892","",""
"gene_symbol7041","AL645729.1","ENSG00000252777","",""
"gene_symbol7042","ITGA4","ENSG00000115232","3676","ITGA4"
"gene_symbol7043","ZNF154","ENSG00000179909","7710","ZNF154"
"gene_symbol7044","AC007218.2","ENSG00000283221","",""
"gene_symbol7045","AL133335.1","ENSG00000286229","",""
"gene_symbol7046","OR7E100P","ENSG00000242525","81430","OR7E100P"
"gene_symbol7047","NOSIP","ENSG00000142546","51070","NOSIP"
"gene_symbol7048","PVT1","ENSG00000249859","5820","PVT1"
"gene_symbol7049","AC087481.1","ENSG00000260382","",""
"gene_symbol7050","ZNF70P1","ENSG00000225463","",""
"gene_symbol7051","MTSS1","ENSG00000170873","9788","MTSS1"
"gene_symbol7052","AP000533.2","ENSG00000215268","",""
"gene_symbol7053","TRIM52-AS1","ENSG00000248275","100507602","TRIM52-AS1"
"gene_symbol7054","RN7SL49P","ENSG00000265802","106480935","RN7SL49P"
"gene_symbol7055","LINC00641","ENSG00000258441","283624","LINC00641"
"gene_symbol7056","LINC01732","ENSG00000237292","101928973","LINC01732"
"gene_symbol7057","AC069528.2","ENSG00000279320","",""
"gene_symbol7058","SCNN1G","ENSG00000166828","6340","SCNN1G"
"gene_symbol7059","CATSPER2P1","ENSG00000205771","440278","CATSPER2P1"
"gene_symbol7060","MUC19","ENSG00000205592","283463","MUC19"
"gene_symbol7061","PCDHA1","ENSG00000204970","56147","PCDHA1"
"gene_symbol7062","RNASEH2B","ENSG00000136104","79621","RNASEH2B"
"gene_symbol7063","OR14A16","ENSG00000196772","284532","OR14A16"
"gene_symbol7064","AL513327.2","ENSG00000270115","",""
"gene_symbol7065","AC244505.1","ENSG00000196395","",""
"gene_symbol7066","ALOXE3","ENSG00000179148","59344","ALOXE3"
"gene_symbol7067","AC136285.3","ENSG00000285527","",""
"gene_symbol7068","SPDYE10P","ENSG00000274570","643862","SPDYE10"
"gene_symbol7069","SLC6A16","ENSG00000063127","28968","SLC6A16"
"gene_symbol7070","KRT35","ENSG00000197079","3886","KRT35"
"gene_symbol7071","FAM197Y5","ENSG00000225516","100289150","FAM197Y5"
"gene_symbol7072","AC007566.1","ENSG00000244055","",""
"gene_symbol7073","DUXAP6","ENSG00000258726","",""
"gene_symbol7074","AF127577.4","ENSG00000235609","",""
"gene_symbol7075","AC079768.2","ENSG00000287298","",""
"gene_symbol7076","AL050303.3","ENSG00000279773","",""
"gene_symbol7077","AC044836.1","ENSG00000253840","",""
"gene_symbol7078","AL162731.1","ENSG00000275297","",""
"gene_symbol7079","TMBIM4","ENSG00000155957","51643","TMBIM4"
"gene_symbol7080","LINC01260","ENSG00000283440","79015","LINC01260"
"gene_symbol7081","FAM25G","ENSG00000189090","100133093","FAM25G"
"gene_symbol7082","GIMAP1","ENSG00000213203","170575","GIMAP1"
"gene_symbol7083","AP005203.1","ENSG00000266268","",""
"gene_symbol7084","REXO5","ENSG00000005189","81691","REXO5"
"gene_symbol7085","PCLO","ENSG00000186472","27445","PCLO"
"gene_symbol7086","LRRC37A12P","ENSG00000229259","",""
"gene_symbol7087","SCO1","ENSG00000133028","6341","SCO1"
"gene_symbol7088","RAP2C-AS1","ENSG00000232160","101928578","RAP2C-AS1"
"gene_symbol7089","AL008628.1","ENSG00000261003","",""
"gene_symbol7090","AC011193.2","ENSG00000265614","",""
"gene_symbol7091","AD001527.1","ENSG00000270760","",""
"gene_symbol7092","METTL2B","ENSG00000165055","55798","METTL2B"
"gene_symbol7093","SNHG14","ENSG00000224078","",""
"gene_symbol7094","AC079054.1","ENSG00000253189","",""
"gene_symbol7095","USP15","ENSG00000135655","9958","USP15"
"gene_symbol7096","FUCA1","ENSG00000179163","2517","FUCA1"
