"","orig_GS","orig_ensembl_id","entrenzID","new_GS"
"gene_symbol37128","RNVU1-21","ENSG00000202408","106480190","RNVU1-21"
"gene_symbol37129","SLC18B1","ENSG00000146409","116843","SLC18B1"
"gene_symbol37130","LINC00517","ENSG00000259091","400208","LINC00517"
"gene_symbol37131","AC087430.1","ENSG00000235158","",""
"gene_symbol37132","DAND5","ENSG00000179284","199699","DAND5"
"gene_symbol37133","HMGB1P16","ENSG00000229384","",""
"gene_symbol37134","AC106865.2","ENSG00000287216","",""
"gene_symbol37135","AC073612.1","ENSG00000258064","",""
"gene_symbol37136","SHANK1","ENSG00000161681","50944","SHANK1"
"gene_symbol37137","AC011625.1","ENSG00000223436","",""
"gene_symbol37138","AC096996.2","ENSG00000261538","",""
"gene_symbol37139","AC130888.1","ENSG00000288111","",""
"gene_symbol37140","AP001124.1","ENSG00000254515","",""
"gene_symbol37141","NRAD1","ENSG00000233725","121838","NRAD1"
"gene_symbol37142","TTC6","ENSG00000139865","319089","TTC6"
"gene_symbol37143","AC138430.2","ENSG00000280282","",""
"gene_symbol37144","C1orf105","ENSG00000180999","92346","C1orf105"
"gene_symbol37145","DAO","ENSG00000110887","1610","DAO"
"gene_symbol37146","RBM22P3","ENSG00000226485","100128867","RBM22P3"
"gene_symbol37147","OR13D2P","ENSG00000237443","392375","OR13D2P"
"gene_symbol37148","AC055720.2","ENSG00000256185","",""
"gene_symbol37149","CHST4","ENSG00000140835","10164","CHST4"
"gene_symbol37150","AC090971.2","ENSG00000259201","",""
"gene_symbol37151","AL391477.1","ENSG00000287452","",""
"gene_symbol37152","KDM5A","ENSG00000073614","5927","KDM5A"
"gene_symbol37153","AP005205.2","ENSG00000266441","",""
"gene_symbol37154","BSNDP4","ENSG00000229627","106481726","BSNDP4"
"gene_symbol37155","ANGPTL4","ENSG00000167772","51129","ANGPTL4"
"gene_symbol37156","RPS9","ENSG00000170889","6203","RPS9"
"gene_symbol37157","YWHAZP4","ENSG00000213131","",""
"gene_symbol37158","GOSR1","ENSG00000108587","9527","GOSR1"
"gene_symbol37159","DRC1","ENSG00000157856","92749","DRC1"
"gene_symbol37160","AL390195.1","ENSG00000243960","",""
"gene_symbol37161","HIKESHIP2","ENSG00000267544","117751740","HIKESHIP2"
"gene_symbol37162","AL161668.3","ENSG00000258471","101929718","LOC101929718"
"gene_symbol37163","AL358178.1","ENSG00000216813","",""
"gene_symbol37164","CST2","ENSG00000170369","1470","CST2"
"gene_symbol37165","PLXNB2","ENSG00000196576","23654","PLXNB2"
"gene_symbol37166","LINC02651","ENSG00000235645","",""
"gene_symbol37167","AC010395.1","ENSG00000248428","",""
"gene_symbol37168","ERP29P1","ENSG00000233347","",""
"gene_symbol37169","AC020907.2","ENSG00000221857","",""
"gene_symbol37170","PLPPR3","ENSG00000129951","79948","PLPPR3"
"gene_symbol37171","AL590608.1","ENSG00000288084","",""
"gene_symbol37172","PPP3CB-AS1","ENSG00000221817","101929145","PPP3CB-AS1"
"gene_symbol37173","AL592164.1","ENSG00000261435","",""
"gene_symbol37174","IDH3G","ENSG00000067829","3421","IDH3G"
"gene_symbol37175","TEN1","ENSG00000257949","100134934","TEN1"
"gene_symbol37176","VN1R83P","ENSG00000268521","100312828","VN1R83P"
"gene_symbol37177","AL645929.1","ENSG00000230521","",""
"gene_symbol37178","RBM10","ENSG00000182872","8241","RBM10"
"gene_symbol37179","AC114801.3","ENSG00000249072","",""
"gene_symbol37180","SLC25A28","ENSG00000155287","81894","SLC25A28"
"gene_symbol37181","TXK","ENSG00000074966","7294","TXK"
"gene_symbol37182","AC004882.3","ENSG00000287967","",""
"gene_symbol37183","SENP3","ENSG00000161956","26168","SENP3"
"gene_symbol37184","AC092747.2","ENSG00000256625","",""
"gene_symbol37185","AL161747.2","ENSG00000257096","",""
"gene_symbol37186","AL358473.1","ENSG00000229191","",""
"gene_symbol37187","LINC01154","ENSG00000257477","",""
"gene_symbol37188","AL365503.1","ENSG00000271111","100420211","LOC100420211"
"gene_symbol37189","AL645608.1","ENSG00000224969","",""
"gene_symbol37190","AC108925.1","ENSG00000286010","",""
"gene_symbol37191","DNAJC17","ENSG00000104129","55192","DNAJC17"
"gene_symbol37192","P2RY6","ENSG00000171631","5031","P2RY6"
"gene_symbol37193","AL139280.1","ENSG00000227338","",""
"gene_symbol37194","SLC22A13","ENSG00000172940","9390","SLC22A13"
"gene_symbol37195","AC113146.1","ENSG00000259423","",""
"gene_symbol37196","CALCA","ENSG00000110680","796","CALCA"
"gene_symbol37197","TRMU","ENSG00000100416","55687","TRMU"
"gene_symbol37198","TRMT10C","ENSG00000174173","54931","TRMT10C"
"gene_symbol37199","SNX18P13","ENSG00000230965","",""
"gene_symbol37200","LINC02573","ENSG00000233236","",""
"gene_symbol37201","C21orf62-AS1","ENSG00000205930","",""
"gene_symbol37202","TNFSF12","ENSG00000239697","8742","TNFSF12"
"gene_symbol37203","TSKS","ENSG00000126467","60385","TSKS"
"gene_symbol37204","AL022323.2","ENSG00000279085","",""
"gene_symbol37205","AC012254.5","ENSG00000280212","",""
"gene_symbol37206","SLC25A6P6","ENSG00000218870","100128312","SLC25A6P6"
"gene_symbol37207","IL12A-AS1","ENSG00000244040","101928376","IL12A-AS1"
"gene_symbol37208","AL451137.2","ENSG00000254261","",""
"gene_symbol37209","AC027601.2","ENSG00000262115","",""
"gene_symbol37210","AC096751.2","ENSG00000251584","",""
"gene_symbol37211","NOL7","ENSG00000225921","51406","NOL7"
"gene_symbol37212","ACTG1P19","ENSG00000237999","644160","ACTG1P19"
"gene_symbol37213","PHBP10","ENSG00000232665","",""
"gene_symbol37214","AL607028.1","ENSG00000232739","",""
"gene_symbol37215","ZMYM3","ENSG00000147130","9203","ZMYM3"
"gene_symbol37216","AC245052.2","ENSG00000224579","",""
"gene_symbol37217","AC026410.3","ENSG00000248569","",""
"gene_symbol37218","LINC00698","ENSG00000244342","285401","LINC00698"
"gene_symbol37219","ARL4D","ENSG00000175906","379","ARL4D"
"gene_symbol37220","ELDR","ENSG00000280890","",""
"gene_symbol37221","AC008498.2","ENSG00000279985","",""
"gene_symbol37222","AC009570.2","ENSG00000286848","",""
"gene_symbol37223","PDC","ENSG00000116703","5132","PDC"
"gene_symbol37224","AC003686.1","ENSG00000257807","100127978","LOC100127978"
"gene_symbol37225","AC117454.1","ENSG00000242119","",""
"gene_symbol37226","ZNF384","ENSG00000126746","171017","ZNF384"
"gene_symbol37227","LINC01394","ENSG00000281809","",""
"gene_symbol37228","AC092718.2","ENSG00000260213","",""
"gene_symbol37229","HPF1","ENSG00000056050","54969","HPF1"
"gene_symbol37230","ATG7","ENSG00000197548","10533","ATG7"
"gene_symbol37231","WTAPP1","ENSG00000255282","100288077","WTAPP1"
"gene_symbol37232","TTTY3B","ENSG00000280961","474148","TTTY3B"
"gene_symbol37233","FGFR3P1","ENSG00000230994","",""
"gene_symbol37234","AC138150.1","ENSG00000224505","",""
"gene_symbol37235","RPL17P17","ENSG00000223409","100270943","RPL17P17"
"gene_symbol37236","FTLP17","ENSG00000228347","",""
"gene_symbol37237","OR6L2P","ENSG00000273327","81356","OR6L2P"
"gene_symbol37238","YEATS4","ENSG00000127337","8089","YEATS4"
"gene_symbol37239","LINC01363","ENSG00000231605","101928484","LINC01363"
"gene_symbol37240","MRGPRX10P","ENSG00000254720","390101","MRGPRX10P"
"gene_symbol37241","VN1R67P","ENSG00000260722","100131118","VN1R67P"
"gene_symbol37242","AC007686.4","ENSG00000285966","",""
"gene_symbol37243","AC005229.5","ENSG00000287636","",""
"gene_symbol37244","AP002414.4","ENSG00000267533","",""
"gene_symbol37245","AP001407.1","ENSG00000286717","",""
"gene_symbol37246","PHKG1P3","ENSG00000236919","5262","PHKG1P3"
"gene_symbol37247","ANO2","ENSG00000047617","57101","ANO2"
"gene_symbol37248","ANKRD66","ENSG00000230062","100287718","ANKRD66"
"gene_symbol37249","FAM149A","ENSG00000109794","25854","FAM149A"
"gene_symbol37250","AL358335.2","ENSG00000258751","",""
"gene_symbol37251","ZNF492","ENSG00000229676","57615","ZNF492"
"gene_symbol37252","MPLKIP","ENSG00000168303","136647","MPLKIP"
"gene_symbol37253","AC074387.1","ENSG00000282033","105373553","LOC105373553"
"gene_symbol37254","ACSF3","ENSG00000176715","197322","ACSF3"
"gene_symbol37255","","ENSG00000188242","25845","PP7080"
"gene_symbol37256","AL157932.1","ENSG00000231530","",""
"gene_symbol37257","BRD7P4","ENSG00000218676","",""
"gene_symbol37258","AC006064.2","ENSG00000247853","",""
"gene_symbol37259","AJ239318.1","ENSG00000280108","",""
"gene_symbol37260","RN7SL225P","ENSG00000239856","106479304","RN7SL225P"
"gene_symbol37261","AL391834.2","ENSG00000273226","",""
"gene_symbol37262","AP002364.1","ENSG00000280367","",""
"gene_symbol37263","CALM1P1","ENSG00000223467","802","CALM1P1"
"gene_symbol37264","CASP3P1","ENSG00000237033","100131616","CASP3P1"
"gene_symbol37265","NAGS","ENSG00000161653","162417","NAGS"
"gene_symbol37266","AL592295.5","ENSG00000288093","",""
"gene_symbol37267","TMEM155","ENSG00000164112","132332","SMIM43"
"gene_symbol37268","AGTRAP","ENSG00000177674","57085","AGTRAP"
"gene_symbol37269","AC000362.1","ENSG00000230820","",""
"gene_symbol37270","LINC00603","ENSG00000250048","",""
"gene_symbol37271","AC006449.2","ENSG00000275532","",""
"gene_symbol37272","AC024145.1","ENSG00000255968","",""
"gene_symbol37273","LINC00587","ENSG00000204250","414319","LINC00587"
"gene_symbol37274","AC079922.1","ENSG00000231747","",""
"gene_symbol37275","RN7SKP241","ENSG00000240294","107063536","RN7SKP241"
"gene_symbol37276","PRDX6-AS1","ENSG00000203739","101928673","PRDX6-AS1"
"gene_symbol37277","AC008543.1","ENSG00000197332","",""
"gene_symbol37278","HSPB7","ENSG00000173641","27129","HSPB7"
"gene_symbol37279","ARHGEF15","ENSG00000198844","22899","ARHGEF15"
"gene_symbol37280","DACT2","ENSG00000164488","168002","DACT2"
"gene_symbol37281","RN7SL244P","ENSG00000242865","106479311","RN7SL244P"
